season	player_id	player	birth_year	pos	age	experience	lg	tm	g	mp	fg_per_36_min	fga_per_36_min	fg_percent	avg_dist_fga	percent_fga_from_x2p_range	percent_fga_from_x0_3_range	percent_fga_from_x3_10_range	percent_fga_from_x10_16_range	percent_fga_from_x16_3p_range	percent_fga_from_x3p_range	fg_percent_from_x2p_range	fg_percent_from_x0_3_range	fg_percent_from_x3_10_range	fg_percent_from_x10_16_range	fg_percent_from_x16_3p_range	fg_percent_from_x3p_range	percent_assisted_x2p_fg	percent_assisted_x3p_fg	percent_dunks_of_fga	num_of_dunks	percent_corner_3s_of_3pa	corner_3_point_percent
2023	3815	Eric Gordon	NA	SG	34	15	NBA	TOT	69	1965	5.3	12	0.446	17.2	0.455	0.164	0.243	0.041	0.006	0.545	0.535	0.71	0.453	0.37	0.25	0.371	0.39	0.811	0.002	1	0.084	0.467
2023	3815	Eric Gordon	NA	SG	34	15	NBA	HOU	47	1418	5.3	12.1	0.439	16.5	0.487	0.163	0.274	0.042	0.008	0.513	0.536	0.744	0.458	0.3	0.25	0.347	0.32	0.765	0.002	1	0.078	0.526
2023	4931	Evan Mobley	NA	PF	21	2	NBA	CLE	79	2715	7	12.6	0.554	7.3	0.892	0.411	0.323	0.122	0.036	0.108	0.595	0.817	0.415	0.362	0.471	0.216	0.74	1	0.239	215	0.402	0.195
2023	4500	Frank Ntilikina	NA	PG	24	6	NBA	DAL	47	607	2.8	7.8	0.364	16.9	0.492	0.144	0.159	0.091	0.098	0.508	0.477	0.579	0.238	0.417	0.769	0.254	0.581	0.941	0	0	0.343	0.13
2023	4933	Franz Wagner	NA	SF	21	2	NBA	ORL	80	2609	7.5	15.4	0.485	12	0.678	0.27	0.311	0.063	0.034	0.322	0.544	0.728	0.42	0.414	0.447	0.361	0.464	0.8	0.03	29	0.172	0.435
2023	4403	Fred VanVleet	NA	PG	28	7	NBA	TOR	69	2535	6.2	15.8	0.393	18.6	0.455	0.12	0.144	0.091	0.101	0.545	0.455	0.586	0.375	0.406	0.455	0.342	0.187	0.594	0	0	0.122	0.419
2023	4717	Gabe Vincent	NA	PG	26	4	NBA	MIA	68	1759	4.7	11.6	0.402	19	0.383	0.093	0.138	0.09	0.062	0.617	0.512	0.547	0.462	0.451	0.657	0.334	0.432	0.735	0.002	1	0.323	0.381
2023	4718	Garrison Mathews	NA	SG	26	4	NBA	TOT	54	686	3.8	10.5	0.363	23.8	0.104	0.045	0.04	0.01	0.01	0.896	0.476	0.667	0.25	0.5	0.5	0.35	0.5	0.952	0.01	2	0.228	0.39
2023	4718	Garrison Mathews	NA	SG	26	4	NBA	HOU	45	602	3.6	10.2	0.353	24.1	0.088	0.041	0.035	0	0.012	0.912	0.467	0.571	0.333	NA	0.5	0.342	0.429	0.981	0.006	1	0.232	0.389
2023	4245	Gary Harris	NA	SG	28	9	NBA	ORL	48	1184	4.2	9.3	0.45	19.4	0.29	0.143	0.091	0.016	0.039	0.71	0.494	0.614	0.429	0	0.417	0.431	0.523	0.915	0.01	2	0.417	0.462
2023	4618	Gary Trent Jr.	NA	SG	24	5	NBA	TOR	66	2118	6.9	15.9	0.433	17.8	0.519	0.117	0.129	0.121	0.152	0.481	0.493	0.706	0.471	0.46	0.373	0.369	0.498	0.861	0.024	20	0.178	0.288
2023	3816	George Hill	NA	PG	36	15	NBA	TOT	46	834	3.4	7.2	0.47	17.7	0.428	0.205	0.102	0.054	0.066	0.572	0.62	0.706	0.412	0.667	0.636	0.358	0.477	0.853	0.018	3	0.337	0.438
2023	4405	Georges Niang	NA	PF	29	7	NBA	PHI	78	1512	5.3	12	0.442	20.8	0.235	0.096	0.112	0.024	0.004	0.765	0.576	0.688	0.536	0.333	0.5	0.401	0.75	1	0	0	0.19	0.534
2023	4164	Giannis Antetokounmpo	NA	PF	28	10	NBA	MIL	63	2024	12.6	22.7	0.553	8.1	0.866	0.48	0.212	0.091	0.084	0.134	0.596	0.791	0.354	0.353	0.355	0.275	0.415	0.617	0.166	198	0.023	0.25
2023	3817	Goran Dragić	NA	PG	36	15	NBA	TOT	58	870	5.8	13.9	0.421	15.8	0.567	0.185	0.128	0.179	0.075	0.433	0.468	0.613	0.372	0.35	0.56	0.359	0.393	0.904	0	0	0.186	0.481
2023	3817	Goran Dragić	NA	PG	36	15	NBA	CHI	51	787	5.8	13.7	0.425	15.5	0.572	0.191	0.13	0.181	0.07	0.428	0.48	0.632	0.359	0.352	0.619	0.352	0.39	0.911	0	0	0.195	0.48
2023	3941	Gordon Hayward	NA	SF	32	13	NBA	CHO	50	1577	6.3	13.3	0.475	14.4	0.725	0.16	0.201	0.191	0.172	0.275	0.532	0.763	0.487	0.486	0.42	0.325	0.554	0.904	0.028	16	0.231	0.432
2023	4720	Grant Williams	NA	PF	24	4	NBA	BOS	79	2045	3.8	8.4	0.454	17.5	0.389	0.137	0.2	0.046	0.006	0.611	0.546	0.738	0.463	0.364	0.333	0.395	0.594	0.957	0.032	15	0.416	0.421
2023	4620	Grayson Allen	NA	SG	27	5	NBA	MIL	72	1972	4.5	10.2	0.44	18.7	0.343	0.18	0.104	0.054	0.005	0.657	0.518	0.67	0.345	0.4	0	0.399	0.606	0.884	0.027	12	0.213	0.474
2023	4621	Hamidou Diallo	NA	SG	24	5	NBA	DET	56	996	7.8	13.6	0.573	6.8	0.944	0.443	0.304	0.125	0.072	0.056	0.593	0.753	0.456	0.426	0.481	0.238	0.643	1	0.139	48	0.524	0.273
2023	4089	Harrison Barnes	NA	PF	30	11	NBA	SAC	82	2662	5.1	10.7	0.473	13.7	0.554	0.259	0.234	0.053	0.008	0.446	0.553	0.717	0.405	0.429	0.333	0.374	0.587	0.932	0.063	47	0.365	0.395
2023	4623	Haywood Highsmith	NA	SF	26	3	NBA	MIA	54	969	3.5	8	0.431	15.4	0.495	0.241	0.148	0.069	0.037	0.505	0.523	0.692	0.406	0.267	0.375	0.339	0.625	0.973	0.06	13	0.44	0.313
2023	4939	Herbert Jones	NA	SF	24	2	NBA	NOP	66	1951	4.3	9.2	0.469	10.9	0.667	0.389	0.222	0.018	0.038	0.333	0.536	0.651	0.396	0.444	0.211	0.335	0.67	0.964	0.086	38	0.515	0.337
2023	4837	Immanuel Quickley	NA	PG	23	3	NBA	NYK	81	2344	6.4	14.4	0.448	16.5	0.515	0.127	0.205	0.127	0.056	0.485	0.521	0.681	0.5	0.471	0.346	0.37	0.263	0.72	0.009	8	0.271	0.366
2023	4838	Isaac Okoro	NA	SF	22	3	NBA	CLE	76	1652	3.8	7.7	0.494	12.8	0.517	0.376	0.133	0.006	0.003	0.483	0.617	0.684	0.426	1	0	0.363	0.752	0.952	0.099	31	0.854	0.377
2023	4627	Isaiah Hartenstein	NA	C	24	5	NBA	NYK	82	1626	3.9	7.2	0.535	6	0.887	0.56	0.202	0.122	0.003	0.113	0.576	0.623	0.576	0.375	0	0.216	0.611	1	0.144	42	0.649	0.292
2023	4940	Isaiah Jackson	NA	C	21	2	NBA	IND	63	1042	6.2	11	0.563	4.2	0.956	0.626	0.261	0.044	0.025	0.044	0.582	0.683	0.373	0.286	0.75	0.143	0.74	1	0.302	84	0.214	0.333
2023	4839	Isaiah Joe	NA	SG	23	3	NBA	OKC	73	1395	5.8	13.1	0.441	22.6	0.224	0.067	0.037	0.045	0.075	0.776	0.553	0.706	0.421	0.565	0.474	0.409	0.714	0.95	0.016	8	0.132	0.519
2023	4941	Isaiah Livers	NA	PF	24	2	NBA	DET	52	1199	3.6	8.6	0.417	20.7	0.295	0.076	0.076	0.066	0.076	0.705	0.541	0.864	0.409	0.368	0.5	0.365	0.696	0.932	0.031	9	0.315	0.422
2023	4722	Isaiah Roby	NA	PF	24	4	NBA	SAS	42	474	5.1	11.8	0.432	13.1	0.613	0.265	0.277	0.026	0.045	0.387	0.516	0.707	0.395	0.25	0.286	0.3	0.612	1	0.084	12	0.183	0.364
2023	4840	Isaiah Stewart	NA	C	21	3	NBA	DET	50	1414	5	11.2	0.442	13.5	0.535	0.302	0.209	0.009	0.016	0.465	0.542	0.571	0.478	0.5	0.857	0.327	0.688	1	0.075	29	0.327	0.328
2023	3946	Ish Smith	NA	PG	34	13	NBA	DEN	43	398	4.7	11.8	0.397	13.4	0.908	0.115	0.16	0.275	0.359	0.092	0.42	0.533	0.524	0.333	0.404	0.167	0.26	1	0	0	0.167	0
2023	4943	Ish Wainright	NA	SF	28	2	NBA	PHO	60	915	3.3	8.9	0.37	19.8	0.238	0.15	0.075	0.009	0.004	0.762	0.5	0.529	0.471	0.5	0	0.329	0.519	0.982	0.026	3	0.514	0.337
2023	4410	Ivica Zubac	NA	C	25	7	NBA	LAC	76	2170	5.4	8.5	0.634	3.3	0.996	0.593	0.377	0.021	0.004	0.004	0.637	0.702	0.546	0.455	0.5	0	0.733	NA	0.286	130	0	NA
