season	player_id	player	birth_year	pos	age	experience	lg	tm	g	mp	fg_per_36_min	fga_per_36_min	fg_percent	avg_dist_fga	percent_fga_from_x2p_range	percent_fga_from_x0_3_range	percent_fga_from_x3_10_range	percent_fga_from_x10_16_range	percent_fga_from_x16_3p_range	percent_fga_from_x3p_range	fg_percent_from_x2p_range	fg_percent_from_x0_3_range	fg_percent_from_x3_10_range	fg_percent_from_x10_16_range	fg_percent_from_x16_3p_range	fg_percent_from_x3p_range	percent_assisted_x2p_fg	percent_assisted_x3p_fg	percent_dunks_of_fga	num_of_dunks	percent_corner_3s_of_3pa	corner_3_point_percent
2023	4490	Dennis Smith Jr.	NA	PG	25	6	NBA	CHO	54	1390	4.8	11.7	0.412	11.4	0.754	0.33	0.232	0.093	0.1	0.246	0.475	0.664	0.343	0.357	0.267	0.216	0.42	0.958	0.053	22	0.225	0.28
2023	4397	Derrick Jones Jr.	NA	SF	25	7	NBA	CHI	64	893	4.6	9.3	0.5	9.7	0.652	0.548	0.096	0.009	0	0.348	0.587	0.627	0.364	0.5	NA	0.338	0.739	1	0.178	35	0.6	0.375
2023	4492	Derrick White	NA	SG	28	6	NBA	BOS	82	2319	5.4	11.8	0.462	16.1	0.484	0.16	0.22	0.08	0.024	0.516	0.548	0.719	0.461	0.508	0.333	0.381	0.502	0.899	0.018	11	0.284	0.387
2023	4824	Desmond Bane	NA	SG	24	3	NBA	MEM	58	1841	8.8	18.4	0.479	14.8	0.567	0.229	0.21	0.071	0.056	0.433	0.534	0.642	0.447	0.478	0.491	0.408	0.521	0.729	0.007	6	0.15	0.508
2023	4321	Devin Booker	NA	SG	26	8	NBA	PHO	53	1835	10.3	20.9	0.494	14.5	0.704	0.156	0.202	0.204	0.142	0.296	0.554	0.717	0.491	0.555	0.464	0.351	0.387	0.685	0.02	20	0.149	0.362
2023	4607	Devonte' Graham	NA	PG	27	5	NBA	TOT	73	1338	4.3	11.6	0.374	22.5	0.216	0.058	0.072	0.035	0.051	0.784	0.452	0.6	0.355	0.533	0.364	0.352	0.31	0.798	0	0	0.104	0.429
2023	4607	Devonte' Graham	NA	PG	27	5	NBA	NOP	53	811	3.8	10.3	0.368	23	0.177	0.056	0.056	0.03	0.035	0.823	0.463	0.462	0.308	0.571	0.625	0.347	0.421	0.848	0	0	0.105	0.35
2023	4494	Dillon Brooks	NA	SF	27	6	NBA	MEM	73	2214	6.4	16.1	0.396	15.8	0.557	0.157	0.19	0.138	0.072	0.443	0.451	0.635	0.362	0.453	0.282	0.326	0.438	0.797	0.012	12	0.164	0.361
2023	4400	Domantas Sabonis	NA	C	26	7	NBA	SAC	79	2736	7.6	12.3	0.615	6.3	0.912	0.493	0.318	0.044	0.058	0.088	0.639	0.762	0.5	0.512	0.444	0.373	0.581	1	0.094	81	0.12	0.2
2023	4495	Donovan Mitchell	NA	SG	26	6	NBA	CLE	68	2432	10.1	20.8	0.484	16.3	0.547	0.214	0.152	0.079	0.102	0.453	0.566	0.693	0.531	0.486	0.413	0.386	0.26	0.482	0.029	37	0.054	0.382
2023	4608	Donte DiVincenzo	NA	SG	26	5	NBA	GSW	72	1894	4.5	10.3	0.435	19.7	0.3	0.124	0.131	0.026	0.019	0.7	0.525	0.567	0.563	0.286	0.3	0.397	0.612	0.927	0.017	9	0.228	0.419
2023	4401	Dorian Finney-Smith	NA	PF	29	7	NBA	TOT	66	2009	3.5	9	0.391	17.8	0.325	0.218	0.088	0.012	0.008	0.675	0.503	0.642	0.227	0	0.5	0.337	0.671	0.974	0.084	33	0.382	0.38
2023	4237	Doug McDermott	NA	SF	31	9	NBA	SAS	64	1314	6.5	14.3	0.457	17.3	0.43	0.176	0.163	0.054	0.038	0.57	0.516	0.707	0.412	0.393	0.25	0.413	0.845	0.984	0.027	14	0.198	0.407
2023	4085	Draymond Green	NA	PF	32	11	NBA	GSW	73	2297	3.9	7.4	0.527	10.3	0.724	0.297	0.363	0.04	0.023	0.276	0.612	0.709	0.57	0.474	0.273	0.305	0.852	1	0.051	21	0.298	0.308
2023	4610	Drew Eubanks	NA	C	25	5	NBA	POR	78	1584	4.9	7.6	0.641	5.8	0.946	0.497	0.317	0.108	0.024	0.054	0.655	0.759	0.566	0.5	0.375	0.389	0.783	1	0.269	76	0.167	0
2023	4611	Duncan Robinson	NA	SF	28	5	NBA	MIA	42	691	4.6	12.3	0.371	22.3	0.19	0.055	0.089	0.034	0.013	0.81	0.556	0.769	0.476	0.5	0.333	0.328	0.92	1	0	0	0.188	0.306
2023	4239	Dwight Powell	NA	C	31	9	NBA	DAL	76	1458	4.9	6.6	0.732	2.5	0.981	0.799	0.167	0.004	0.011	0.019	0.746	0.791	0.578	0	0.333	0	0.787	NA	0.316	76	0.4	0
2023	5046	Dyson Daniels	NA	PG	19	1	NBA	NOP	59	1042	3	7.2	0.418	13.6	0.587	0.308	0.221	0.048	0.01	0.413	0.492	0.641	0.348	0.3	0	0.314	0.55	0.889	0.034	7	0.302	0.346
2023	4497	Edmond Sumner	NA	SG	27	5	NBA	BRK	53	736	6.1	13.2	0.461	11.2	0.677	0.316	0.268	0.052	0.041	0.323	0.511	0.624	0.389	0.357	0.636	0.356	0.634	0.903	0.033	9	0.529	0.348
