season,player,pos,fg_per_36_min,fga_per_36_min,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,percent_corner_3s_of_3pa,corner_3_point_percent
2023,Caris LeVert,SG,5.1,11.9,0.431,14.7,0.563,0.239,0.181,0.116,0.028,0.437,0.462,0.392,0.373,0.709,0.043,0.231,0.413
2023,Cedi Osman,SF,5.6,12.3,0.451,16.8,0.411,0.27,0.102,0.025,0.015,0.589,0.564,0.372,0.764,0.879,0.013,0.253,0.43
2023,Chimezie Metu,C,6.7,11.4,0.589,7.5,0.826,0.479,0.279,0.055,0.014,0.174,0.663,0.237,0.783,1,0.329,0.079,0
2023,Chris Boucher,PF,6.2,12.5,0.493,11.2,0.643,0.416,0.166,0.038,0.023,0.357,0.585,0.328,0.578,0.984,0.149,0.497,0.351
2023,Chris Paul,PG,5.6,12.7,0.44,18,0.609,0.025,0.127,0.302,0.154,0.391,0.482,0.375,0.163,0.551,0,0.073,0.421
2023,Christian Braun,SG,4.4,8.8,0.495,11.4,0.668,0.36,0.239,0.028,0.042,0.332,0.565,0.354,0.67,0.941,0.114,0.417,0.4
2023,Christian Koloko,C,3.2,6.7,0.48,4.9,0.92,0.633,0.213,0.067,0.007,0.08,0.514,0.083,0.704,1,0.32,0.5,0.167
2023,Christian Wood,C,8.2,15.9,0.515,12.8,0.637,0.304,0.208,0.062,0.062,0.363,0.594,0.376,0.615,0.971,0.124,0.165,0.326
2023,CJ McCollum,SG,8,18.3,0.437,16.2,0.596,0.109,0.21,0.15,0.127,0.404,0.469,0.389,0.303,0.758,0.004,0.107,0.328
2023,Clint Capela,C,7.3,11.2,0.653,2.2,0.998,0.769,0.222,0.004,0.004,0.002,0.654,0,0.734,NA,0.291,0,NA
2023,Coby White,SG,5.5,12.4,0.443,17.8,0.421,0.2,0.096,0.072,0.052,0.579,0.54,0.372,0.348,0.961,0.008,0.148,0.412
