player,pos,fg_per_36_min,fga_per_36_min,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,percent_corner_3s_of_3pa,corner_3_point_percent
Aaron Gordon,PF,7.5,13.3,0.564,8.9,0.773,0.489,0.183,0.064,0.037,0.227,0.628,0.347,0.631,0.733,0.264,0.324,0.25
Aaron Holiday,PG,3.9,9.4,0.418,14.7,0.6,0.223,0.168,0.132,0.077,0.4,0.424,0.409,0.214,0.861,0,0.17,0.2
Aaron Nesmith,SF,5,11.7,0.427,15.5,0.468,0.249,0.136,0.063,0.02,0.532,0.496,0.366,0.701,0.965,0.042,0.424,0.383
Aaron Wiggins,SG,5.2,10.1,0.512,10.6,0.664,0.383,0.264,0.014,0.003,0.336,0.573,0.393,0.696,0.958,0.055,0.459,0.286
AJ Griffin,SF,6.4,13.7,0.465,16.8,0.514,0.101,0.165,0.173,0.075,0.486,0.536,0.39,0.558,0.891,0.017,0.293,0.408
Al Horford,C,4.3,9,0.476,18.8,0.322,0.14,0.123,0.038,0.021,0.678,0.539,0.446,0.675,0.993,0.023,0.378,0.488
Alec Burks,SG,6.4,14.7,0.436,18.2,0.479,0.089,0.144,0.124,0.122,0.521,0.459,0.414,0.307,0.687,0.002,0.222,0.491
Alex Caruso,PG,3,6.5,0.455,15,0.472,0.29,0.112,0.052,0.017,0.528,0.556,0.364,0.533,0.945,0.028,0.49,0.405
Alperen Şengün,C,7.3,13.2,0.553,6,0.929,0.395,0.464,0.053,0.016,0.071,0.57,0.333,0.499,1,0.109,0.035,0
Amir Coffey,SG,3.2,8.4,0.386,12.1,0.724,0.172,0.366,0.124,0.062,0.276,0.429,0.275,0.6,1,0.041,0.45,0.222
Andre Drummond,C,7,11.6,0.606,2.3,0.989,0.763,0.215,0.011,0,0.011,0.613,0,0.614,NA,0.277,0.333,0
Andrew Nembhard,SG,4.9,11.2,0.441,15.4,0.592,0.172,0.182,0.169,0.068,0.408,0.504,0.35,0.406,0.913,0.002,0.266,0.357
Anfernee Simons,SG,7.7,17.3,0.447,17.9,0.462,0.166,0.124,0.092,0.08,0.538,0.528,0.377,0.29,0.684,0.029,0.107,0.4
Anthony Davis,C,10.2,18.2,0.563,8.2,0.923,0.348,0.323,0.134,0.117,0.077,0.589,0.257,0.625,1,0.156,0.149,0.364
Anthony Edwards,SG,9,19.5,0.459,13.9,0.625,0.295,0.154,0.075,0.102,0.375,0.513,0.369,0.348,0.516,0.044,0.097,0.446
Anthony Gill,PF,4.1,7.6,0.538,8.7,0.78,0.311,0.409,0.053,0.008,0.22,0.65,0.138,0.672,1,0.045,0.621,0.167
Anthony Lamb,SF,4.5,9.5,0.471,17.8,0.366,0.15,0.188,0.006,0.022,0.634,0.652,0.367,0.68,0.986,0.045,0.342,0.353
