player,fga_per_game,pts_per_game
Ryan Gomes,9.6,10.9
Ryan Hollins,4.2,6.1
Sam Young,6.2,7.4
Samuel Dalembert,6.4,8.1
Sasha Pavlović,4.2,3.7
Sasha Vujačić,2.4,2.8
Serge Ibaka,5.1,6.3
Sergio Rodríguez,5.3,6.6
Shane Battier,6.7,8
Shannon Brown,7.2,8.1
Shawn Marion,10.4,12
Sonny Weems,6.6,7.5
Spencer Hawes,9.3,10
Stephen Curry,14.3,17.5
Stephen Graham,3.4,4.2
Stephen Jackson,17.5,20.6
Stephen Jackson,17.8,21.1
Steve Blake,6.5,7.3
Steve Nash,12.2,16.5
Taj Gibson,7.7,9
Terrence Williams,8.3,8.4
Thabo Sefolosha,5.4,6
Thaddeus Young,12.1,13.8
Tim Duncan,13.9,17.9
Trevor Ariza,13.9,14.9
Troy Murphy,11.3,14.6
Ty Lawson,6,8.3
Tyreke Evans,16.2,20.1
Udonis Haslem,8.1,9.9
Vince Carter,13.5,16.6
Wayne Ellington,5.9,6.6
Wesley Matthews,6.9,9.4
Will Bynum,8.5,10
Willie Green,7.4,8.7
Wilson Chandler,13.2,15.3
Zach Randolph,16.5,20.8
Zaza Pachulia,3.2,4.3
Zydrunas Ilgauskas,6.8,7.4
