season	player_id	player	birth_year	pos	age	experience	
lg	tm	g	gs	mp_per_game	fg_per_game	
fga_per_game	fg_percent	x3p_per_game	x3pa_per_game	
x3p_percent	x2p_per_game	x2pa_per_game	x2p_percent	
e_fg_percent	ft_per_game	fta_per_game	ft_percent	
orb_per_game	drb_per_game	trb_per_game	ast_per_game	
stl_per_game	blk_per_game	tov_per_game	pf_per_game	
pts_per_game
2010	3731	Aaron Brooks	NA	PG	25	3	NBA	
HOU	82	82	35.6	7	16.2	0.432	2.5	6.4	
0.398	4.5	9.8	0.454	0.511	3	3.6	0.822	0.7	2	
2.6	5.3	0.8	0.2	2.8	2.4	19.6
2010	3101	Al Harrington	NA	PF	29	12	NBA	
NYK	72	15	30.5	6.2	14.3	0.435	1.9	5.7	
0.342	4.3	8.6	0.496	0.503	3.3	4.4	0.757	1.2	
4.4	5.6	1.5	0.9	0.4	1.8	2.9	17.7
2010	3734	Al Horford	NA	C	23	3	NBA	
ATL	81	81	35.1	5.8	10.5	0.551	0	0	1	
5.8	10.4	0.551	0.552	2.6	3.3	0.789	2.9	7	
9.9	2.3	0.7	1.1	1.5	2.8	14.2
2010	3496	Al Jefferson	NA	C	25	6	NBA	
MIN	76	76	32.4	7.4	14.8	0.498	0	0.1	0	
7.4	14.8	0.5	0.498	2.4	3.5	0.68	2.4	6.9	
9.3	1.8	0.8	1.3	1.8	2.7	17.1
2010	3735	Al Thornton	NA	SF	26	3	NBA	
TOT	75	46	27.7	4.3	9	0.473	0.1	0.4	
0.355	4.1	8.6	0.479	0.482	2	2.8	0.725	1.5	
2.4	3.9	1.2	0.6	0.5	1.4	2.7	10.7
2010	3366	Amar'e Stoudemire	NA	PF	27	8	
NBA	PHO	82	82	34.6	8.6	15.4	0.557	0	
0.1	0.167	8.6	15.3	0.559	0.557	5.9	7.7	0.771	
2.8	6.1	8.9	1	0.6	1	2.6	3.4	23.1
2010	3570	Amir Johnson	NA	PF	22	5	NBA	
TOR	82	5	17.7	2.5	4.1	0.623	0	0	0	
2.5	4	0.63	0.623	1.2	1.8	0.638	1.9	2.9	
4.8	0.6	0.5	0.8	0.8	3.1	6.2
2010	3497	Anderson Varejão	NA	PF	27	6	
NBA	CLE	76	7	28.5	3.5	6.1	0.572	0	
0.1	0.2	3.5	6.1	0.576	0.573	1.5	2.3	0.663	
2.5	5.1	7.6	1.1	0.9	0.9	0.9	2.9	8.6
2010	3571	Andray Blatche	NA	PF	23	5	NBA	
WAS	81	36	27.9	5.9	12.3	0.478	0.2	0.5	
0.295	5.7	11.8	0.487	0.485	2.1	2.9	0.744	2	
4.3	6.3	2.1	1	0.9	2.2	2.7	14.1
2010	3500	Andre Iguodala	NA	SF	26	6	NBA	
PHI	82	82	38.9	6	13.7	0.443	1.1	3.7	
0.31	4.9	10	0.492	0.485	3.8	5.2	0.733	1	
5.5	6.5	5.8	1.7	0.7	2.7	1.8	17.1
2010	3171	Andre Miller	NA	PG	33	11	NBA	
POR	82	66	30.5	4.9	11.1	0.445	0.2	1	
0.2	4.7	10.1	0.469	0.454	3.9	4.8	0.821	1	
2.3	3.2	5.4	1.1	0.1	2.1	2.1	14
2010	3655	Andrea Bargnani	NA	PF	24	4	NBA	
TOR	80	80	35	6.7	14.3	0.47	1.5	4.1	
0.372	5.2	10.2	0.509	0.523	2.3	2.9	0.774	1.3	
4.9	6.2	1.2	0.3	1.4	1.5	2.7	17.2
2010	3501	Andrés Nocioni	NA	SF	30	6	NBA	
SAC	75	28	19.7	3.1	7.8	0.399	1.3	3.3	
0.386	1.8	4.5	0.408	0.48	0.9	1.3	0.717	0.4	
2.5	3	1	0.4	0.3	0.9	2.1	8.5
