player,pos,fga_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,pts_per_36_min
Jared Dudley,SG,8.9,4.6,2.7,1.5,0.2,10.9
Jarrett Jack,PG,13.1,3.9,6,1.2,0.2,15.4
Jason Smith,C,11.9,6.5,2.8,0.6,0.9,13.2
Jason Terry,SG,9.8,2.7,3.2,1.4,0.4,11.9
Jason Thompson,PF,7.7,9.6,1.5,0.6,1,8.9
Jeff Green,SF,14.2,4.8,2,0.8,0.5,17.1
Jeff Teague,PG,14.3,3,8.3,2,0.5,18.8
Jerami Grant,SF,9.2,5.2,2.1,1,1.8,10.7
Jeremy Lin,PG,12.3,3.7,6.4,1.5,0.6,15.7
Jerryd Bayless,PG,10.8,4.4,4.9,1.2,0.3,12.5
Jimmy Butler,SG,13.1,5.4,3,1.6,0.5,18.6
Joakim Noah,C,7.5,11.3,5.5,0.8,1.3,8.5
Joe Ingles,SF,7.6,3.8,3.9,1.5,0.2,8.5
Joe Johnson,SG,13.2,5,3.8,0.8,0.2,14.9
Joey Dorsey,PF,6.1,11.8,1.1,1.7,1.1,7.8
John Henson,C,10.1,9.1,1.7,0.8,4,13.8
John Wall,PG,14.8,4.6,10.1,1.8,0.6,17.6
Jon Leuer,PF,11.9,9,2,0.7,0.4,12.5
Jonas Jerebko,PF,11.1,8.3,2.1,1.3,0.5,13.1
Jonas Valančiūnas,C,11.2,11.9,0.7,0.6,1.6,16.5
Jordan Hill,C,14.9,10.7,2,0.7,1,16.2
Josh Smith,PF,15.4,8.3,4.3,1.4,1.8,16.1
Kawhi Leonard,SF,14.6,8.2,2.9,2.6,0.8,18.7
Kelly Olynyk,C,13.4,7.7,2.8,1.6,1,16.6
Kendrick Perkins,C,7.1,10,1.6,0.5,1.3,7.7
Kenneth Faried,PF,12.7,11.5,1.5,1.1,1,16.3
Kent Bazemore,SG,9,6,2.1,1.4,0.9,10.6
Kentavious Caldwell-Pope,SG,13.5,3.5,1.5,1.3,0.3,14.5
Kevin Love,PF,13.5,10.4,2.4,0.7,0.6,17.5
Kevin Séraphin,C,13.1,8.4,1.7,0.3,1.7,15.2
Khris Middleton,SF,13.2,5.3,2.8,1.8,0.2,16
Kirk Hinrich,SG,8.5,2.7,3.3,1,0.3,8.4
Klay Thompson,SG,19,3.6,3.3,1.3,0.9,24.5
Kosta Koufos,C,9.6,11.4,1,0.8,1.7,11.2
Kris Humphries,PF,11.9,11.1,1.5,0.9,0.7,13.6
Kyle Korver,SG,8.9,4.5,2.9,0.8,0.6,13.6
Kyle Lowry,PG,15.6,4.9,7.1,1.6,0.2,18.6
Kyle Singler,SF,9.2,4,1.8,1,0.4,9.9
Kyrie Irving,PG,16.3,3.1,5.1,1.5,0.3,21.5
LaMarcus Aldridge,PF,20.3,10.4,1.8,0.7,1,23.8
Lavoy Allen,C,10.1,10.9,2.5,0.5,1.4,10.6
Leandro Barbosa,SG,14.2,3.3,3.6,1.5,0.3,17.1
LeBron James,SF,18.5,6,7.4,1.6,0.7,25.2
Lou Williams,SG,16.6,2.7,2.9,1.6,0.2,22.2
Luc Mbah a Moute,PF,11.9,6.2,2,1.5,0.4,12.4
Luis Scola,PF,13.9,11.4,2.3,1,0.4,16.6
Luke Babbitt,SF,8.3,4.8,1,0.7,0.5,11.1
Luol Deng,SF,11.7,5.6,2.1,1,0.3,15
Manu Ginóbili,SG,13.4,4.8,6.6,1.5,0.5,16.7
