season	player_id	player	birth_year	pos	age	experience	
lg	tm	g	gs	mp	fg_per_36_min	fga_per_36_min	
fg_percent	x3p_per_36_min	x3pa_per_36_min	x3p_percent	
x2p_per_36_min	x2pa_per_36_min	x2p_percent	ft_per_36_min	
fta_per_36_min	ft_percent	orb_per_36_min	drb_per_36_min	
trb_per_36_min	ast_per_36_min	stl_per_36_min	blk_per_36_min	
tov_per_36_min	pf_per_36_min	pts_per_36_min
2015	3731	Aaron Brooks	NA	PG	30	7	NBA	CHI	
82	21	1885	6.6	15.6	0.421	2.3	6	0.387	4.3	
9.6	0.442	2.8	3.3	0.833	0.6	2.6	3.2	5	1	
0.3	3	3.6	18.2
2015	3734	Al Horford	NA	C	28	8	NBA	ATL	
76	76	2318	8.1	15	0.538	0.2	0.6	0.306	7.9	
14.4	0.547	1.7	2.2	0.759	2	6.4	8.4	3.8	1.1	
1.5	1.6	1.9	18
2015	3496	Al Jefferson	NA	C	30	11	NBA	CHO	
65	61	1992	8.8	18.3	0.481	0	0.1	0.4	8.7	
18.2	0.482	2	3	0.655	1.8	8.1	9.9	2	0.8	
1.5	1.2	2.5	19.6
2015	3915	Al-Farouq Aminu	NA	SF	24	5	NBA	DAL	
74	3	1366	3.9	9.4	0.412	0.9	3.3	0.274	3	
6.1	0.485	2.2	3.1	0.712	3	6	9	1.6	1.8	
1.6	1.4	3.6	10.9
2015	3567	Alan Anderson	NA	SG	32	6	NBA	BRK	
74	19	1744	4	9.1	0.443	1.5	4.3	0.348	2.5	
4.7	0.53	1.7	2.1	0.812	0.6	3.6	4.2	1.7	1.2	
0.1	1.2	3.1	11.3
2015	4142	Alex Len	NA	C	21	2	NBA	PHO	
69	44	1518	4.2	8.4	0.507	0	0.1	0.333	4.2	
8.3	0.509	1.7	2.5	0.702	3.4	7.4	10.8	0.8	0.8	
2.5	1.8	5.1	10.2
2015	3795	Alexis Ajinça	NA	C	26	5	NBA	NOP	
68	8	957	6.8	12.4	0.55	0	0	NA	6.8	
12.4	0.55	3	3.7	0.818	3.9	7.9	11.8	1.8	0.8	
1.9	2.6	5.7	16.7
2015	3570	Amir Johnson	NA	PF	27	10	NBA	TOR	
75	72	1979	5.4	9.4	0.574	0.3	0.8	0.413	5.1	
8.6	0.59	1.4	2.3	0.612	2.9	5.4	8.3	2.1	0.8	
1.1	2	4.1	12.6
2015	4064	Andre Drummond	NA	C	21	3	NBA	DET	
82	82	2502	7.1	13.8	0.514	0	0	0	7.1	
13.8	0.515	2	5.3	0.389	6.3	9.6	15.9	0.8	1.1	
2.2	1.7	4.1	16.3
2015	3500	Andre Iguodala	NA	SF	31	11	NBA	GSW	
77	0	2069	4	8.6	0.466	1.3	3.7	0.349	2.7	
4.9	0.553	1.2	2	0.596	0.8	3.7	4.5	4	1.5	
0.4	1.5	1.7	10.5
2015	3171	Andre Miller	NA	PG	38	16	NBA	TOT	
81	0	1253	4.2	8.3	0.5	0.2	1	0.206	4	
7.4	0.539	1.7	2.2	0.753	1.1	3.3	4.4	8.2	0.9	
0.2	3	3	10.2
2015	4144	Andre Roberson	NA	SG	23	2	NBA	OKC	
67	65	1286	2.6	5.6	0.458	0.6	2.4	0.247	2	
3.2	0.612	0.6	1.3	0.479	1.7	5.5	7.1	2	1.5	
0.8	1.3	3.9	6.4
2015	3573	Andrew Bogut	NA	C	30	10	NBA	GSW	
67	65	1583	4.5	8.1	0.563	0	0	NA	4.5	
8.1	0.563	0.5	1	0.524	3.2	9.1	12.3	4.1	0.9	
2.6	2.4	4.3	9.6
2015	4223	Andrew Wiggins	NA	SF	19	1	NBA	MIN	
82	82	2969	6	13.8	0.437	0.5	1.5	0.31	5.6	
